x,y,z,ctl,deaths
-20,0,21,686,5
-20,0,24,247,1
-20,0,27,354,3
-20,0,30,173,2
-20,0,33,42,1
-20,0,36,155,1
-20,10,-36,356,7
-20,10,-33,263,3
-20,10,-30,272,4
-20,10,-27,162,1
-20,10,-24,503,7
-20,10,-21,320,4
-20,10,-18,157,1
-20,10,-15,377,3
-20,10,-12,444,5
-20,10,-9,426,3
-20,10,-6,589,5
-20,10,-3,351,1
-20,10,0,375,5
-20,10,3,590,4
-20,10,6,455,5
-20,10,9,420,5
-20,10,12,661,5
-20,10,15,471,4
-20,10,18,590,7
-20,10,21,401,4
-20,10,24,176,1
-20,10,27,346,3
-20,10,30,189,1
-20,10,33,24,0
-20,10,36,278,1
-20,20,-36,184,3
-20,20,-33,452,4
-20,20,-30,542,2
-20,20,-27,385,6
-20,20,-24,91,2
-20,20,-21,205,2
-20,20,-18,189,2
-20,20,-15,229,3
-20,20,-12,271,2
-20,20,-9,879,9
-20,20,-6,393,2
-20,20,-3,500,7
-20,20,0,948,13
-20,20,3,307,2
-20,20,6,291,4
-20,20,9,178,0
-20,20,12,378,1
-20,20,15,266,2
-20,20,18,142,1
-20,20,21,272,3
-20,20,24,549,3
-20,20,27,93,1
-20,20,30,276,2
-20,20,36,120,1
-20,30,-33,114,1
-20,30,-30,127,0
-20,30,-27,302,2
-20,30,-24,358,2
-20,30,-21,289,2
-20,30,-18,112,0
-20,30,-15,127,1
-20,30,-12,523,5
-20,30,-9,126,1
-20,30,-6,350,3
-20,30,-3,467,5
-20,30,0,221,5
-20,30,3,220,2
-20,30,6,119,0
-20,30,9,99,2
-20,30,12,150,3
-20,30,15,233,2
-20,30,21,113,2
-20,30,24,162,0
-20,30,27,16,0
-20,30,30,540,5
-20,30,33,342,2
-20,30,36,51,0
-20,40,-36,213,1
-20,40,-33,109,0
-20,40,-24,5,0
-20,40,-21,15,1
-20,40,-18,96,1
-20,40,-15,181,1
-20,40,-12,103,1
-20,40,-9,54,0
-20,40,-6,158,1
-20,40,-3,442,5
-20,40,0,80,1
-20,40,3,78,1
-20,40,6,246,4
-20,40,9,132,3
-20,40,12,83,2
-20,40,15,213,1
-20,40,18,160,2
-20,40,21,16,1
-20,40,24,143,0
-20,40,27,91,0
-20,40,30,113,1
-20,50,-12,94,1
-20,50,-9,115,2
-20,50,-3,109,0
-20,50,0,196,3
-20,50,3,94,0
-20,50,6,9,0
-20,50,9,164,1
-20,50,12,63,1
-20,50,15,35,1
-20,50,21,5,1
-20,50,27,170,2
-20,60,-12,42,0
-20,60,-3,1,0
-20,60,3,36,1
-10,-70,24,98,1
-10,-70,27,77,0
-10,-60,-3,240,2
-10,-60,0,57,0
-10,-60,3,33,0
-10,-60,30,76,2
-10,-60,33,83,1
-10,-50,-36,120,0
-10,-50,-18,35,0
-10,-50,-9,57,0
-10,-50,-6,125,2
-10,-50,-3,137,0
-10,-50,6,29,0
-10,-50,18,120,0
-10,-50,21,61,0
-10,-50,24,36,0
-10,-50,30,29,0
-10,-40,-36,45,1
-10,-40,-27,80,1
-10,-40,-24,54,2
-10,-40,-21,9,0
-10,-40,-18,58,1
-10,-40,-15,421,4
-10,-40,-12,141,2
-10,-40,-9,176,0
-10,-40,-6,441,8
-10,-40,-3,205,2
-10,-40,0,142,1
-10,-40,3,60,2
-10,-40,6,259,2
-10,-40,9,90,1
-10,-40,12,53,1
-10,-40,15,237,1
-10,-40,18,126,2
-10,-40,21,42,1
-10,-40,24,205,1
-10,-40,27,82,0
-10,-40,30,205,1
-10,-40,33,139,2
-10,-40,36,53,1
-10,-30,-36,53,0
-10,-30,-33,148,2
-10,-30,-30,100,0
-10,-30,-27,232,3
-10,-30,-24,50,0
-10,-30,-21,116,2
-10,-30,-18,97,1
-10,-30,-15,193,2
-10,-30,-12,131,0
-10,-30,-9,220,3
-10,-30,-6,270,3
-10,-30,-3,148,2
-10,-30,0,204,1
-10,-30,3,247,4
-10,-30,6,323,3
-10,-30,9,77,1
-10,-30,12,592,6
-10,-30,15,273,2
-10,-30,18,157,1
-10,-30,21,292,1
-10,-30,24,197,4
-10,-30,27,56,0
-10,-30,30,180,1
-10,-30,33,39,1
-10,-30,36,142,0
-10,-20,-36,189,2
-10,-20,-33,93,0
-10,-20,-30,191,0
-10,-20,-27,493,4
-10,-20,-24,563,6
-10,-20,-21,406,1
-10,-20,-18,428,5
-10,-20,-15,649,8
-10,-20,-12,526,4
-10,-20,-9,563,4
-10,-20,-6,583,4
-10,-20,-3,732,5
-10,-20,0,305,3
-10,-20,3,959,12
-10,-20,6,547,5
-10,-20,9,325,4
-10,-20,12,538,6
-10,-20,15,232,1
-10,-20,18,505,8
-10,-20,21,204,1
-10,-20,24,87,1
-10,-20,27,318,4
-10,-20,30,97,0
-10,-20,33,371,3
-10,-20,36,181,0
-10,-10,-36,105,1
-10,-10,-33,71,1
-10,-10,-30,14,1
-10,-10,-27,16,1
-10,-10,-24,97,3
-10,-10,-21,227,1
-10,-10,-18,80,2
-10,-10,-15,492,6
-10,-10,-12,420,4
-10,-10,-9,166,2
-10,-10,-6,415,2
-10,-10,-3,275,5
-10,-10,0,199,2
-10,-10,3,476,4
-10,-10,6,744,5
-10,-10,9,542,4
-10,-10,12,308,4
-10,-10,15,703,6
-10,-10,18,635,9
-10,-10,21,1082,9
-10,-10,24,786,6
-10,-10,27,770,9
